date,open,close
2017-11-05,1,0.9988
2017-11-04,1,1
2017-11-03,0.999063,1.01
2017-11-02,0.999853,1
2017-11-01,1,1
2017-10-31,0.998327,1
2017-10-30,1,1
2017-10-29,1,1
2017-10-28,0.999838,1
2017-10-27,0.999916,1
2017-10-26,1,0.999868
2017-10-25,1,1
2017-10-24,0.994611,1
2017-10-23,1,0.996536
2017-10-22,0.99992,1
2017-10-21,1,1
2017-10-20,1,1
2017-10-19,1,1
2017-10-18,0.998946,1
2017-10-17,0.998252,0.999335
2017-10-16,0.998,0.99801
2017-10-15,1,0.999242
2017-10-14,1,0.999709
2017-10-13,1,1
2017-10-12,0.999843,0.997423
2017-10-11,0.997962,0.998625
2017-10-10,1,0.999441
2017-10-09,0.998897,0.99978
2017-10-08,0.99811,0.998442
2017-10-07,0.999588,0.99932
2017-10-06,1,1
2017-10-05,1,1
2017-10-04,1,1
2017-10-03,1,1
2017-10-02,0.998088,1
2017-10-01,0.997266,0.999924
2017-09-30,1,0.996488
2017-09-29,0.998357,0.999863
2017-09-28,1,1
2017-09-27,1,1
2017-09-26,1,1
2017-09-25,1,1
2017-09-24,1,1
2017-09-23,1,1
2017-09-22,1.01,1
2017-09-21,0.997446,1
2017-09-20,1,1
2017-09-19,1,1
2017-09-18,1,1
2017-09-17,1.01,1.01
2017-09-16,1,1
2017-09-15,1,1.01
2017-09-14,1,1
2017-09-13,1,1
2017-09-12,1,1.01
2017-09-11,1,1
2017-09-10,1,1.01
2017-09-09,1.01,1
2017-09-08,1,1.01
2017-09-07,1,1
2017-09-06,1.01,1.01
2017-09-05,1.03,1
2017-09-04,1,1.03
2017-09-03,1.01,1
2017-09-02,1,1.02
2017-09-01,1,1
2017-08-31,1,1
2017-08-30,1,1
2017-08-29,1,1
2017-08-28,1,1
2017-08-27,1,1
2017-08-26,1,0.998932
2017-08-25,1,1
2017-08-24,0.999332,1
2017-08-23,1,1
2017-08-22,1,1.01
2017-08-21,0.999538,0.999263
2017-08-20,0.997167,0.996629
2017-08-19,1.01,1
2017-08-18,1.01,1.01
2017-08-17,1,1.01
2017-08-16,0.998963,1
2017-08-15,1,1
2017-08-14,0.995682,0.998163
2017-08-13,1,0.998616
2017-08-12,1,1
2017-08-11,0.996635,1
2017-08-10,0.998799,0.992991
2017-08-09,0.999236,1
2017-08-08,0.99422,1
2017-08-07,0.999468,0.996254
2017-08-06,1,1
2017-08-05,1,0.998314
2017-08-04,0.968452,1
2017-08-03,1,0.969304
2017-08-02,0.996581,1
2017-08-01,1,0.996819
2017-07-31,1,1
2017-07-30,0.996776,0.998868
2017-07-29,0.999755,0.996619
2017-07-28,0.99606,1
2017-07-27,0.998839,0.997275
2017-07-26,0.998645,0.996955
2017-07-25,0.994284,0.999802
2017-07-24,0.999919,0.993997
2017-07-23,0.994773,0.997761
2017-07-22,0.999612,0.9932
2017-07-21,0.998636,0.997202
2017-07-20,0.99098,0.986866
2017-07-19,1,1
2017-07-18,0.995021,0.998216
2017-07-17,0.988208,0.996888
2017-07-16,1,0.999161
2017-07-15,1,1
2017-07-14,1,1
2017-07-13,0.999669,1
2017-07-12,1.01,0.997456
2017-07-11,1.02,1.01
2017-07-10,1.01,1.01
2017-07-09,0.999601,1.01
2017-07-08,1.01,0.999725
2017-07-07,1,1.01
2017-07-06,0.995936,1
2017-07-05,1,0.99646
2017-07-04,0.999601,0.998828
2017-07-03,1.01,1
2017-07-02,1.02,1.02
2017-07-01,1.01,1.02
2017-06-30,1.02,1.01
2017-06-29,1.01,1.02
2017-06-28,1.01,1.01
2017-06-27,1.01,1.01
2017-06-26,1.01,1.01
2017-06-25,1.02,1.01
2017-06-24,1.01,1.02
2017-06-23,0.972496,1.01
2017-06-22,0.981174,0.972902
2017-06-21,0.975087,0.981361
2017-06-20,0.986156,0.975272
2017-06-19,1,0.986406
2017-06-18,0.988674,1
2017-06-17,1.02,0.988584
2017-06-16,1.01,1.02
2017-06-15,1.03,1.02
2017-06-14,1.01,1.03
2017-06-13,1.03,1.01
2017-06-12,1.01,1.02
2017-06-11,1.02,1.01
2017-06-10,0.999158,1.02
2017-06-09,1,1
2017-06-08,1.02,1
2017-06-07,1,1.01
2017-06-06,1.02,1
2017-06-05,1.01,1.02
2017-06-04,1.02,1.01
2017-06-03,1.03,1.02
2017-06-02,1.03,1.02
2017-06-01,1.04,1.03
2017-05-31,1.01,1.04
2017-05-30,1.02,1.01
2017-05-29,1.04,1.02
2017-05-28,1.02,1.04
2017-05-27,1.05,1.02
2017-05-26,1.02,1.04
2017-05-25,1.02,1.04
2017-05-24,1.01,1.02
2017-05-23,1.01,1.01
2017-05-22,1,1.01
2017-05-21,0.992749,1
2017-05-20,0.998833,0.993431
2017-05-19,0.967244,1
2017-05-18,0.961148,0.967143
2017-05-17,0.952963,0.970429
2017-05-16,0.970698,0.958591
2017-05-15,0.980577,0.967298
2017-05-14,0.972775,0.981106
2017-05-13,0.981353,0.973648
2017-05-12,0.975099,0.97607
2017-05-11,0.97982,0.983721
2017-05-10,0.970483,0.982
2017-05-09,0.967255,0.970487
2017-05-08,0.968962,0.96726
2017-05-07,0.968638,0.96899
2017-05-06,0.955667,0.968619
2017-05-05,0.945975,0.955601
2017-05-04,0.933356,0.945931
2017-05-03,0.932612,0.933351
2017-05-02,0.935857,0.932607
2017-05-01,0.936855,0.935871
2017-04-30,0.937189,0.936854
2017-04-29,0.934557,0.937193
2017-04-28,0.924343,0.934542
2017-04-27,0.921049,0.924351
2017-04-26,0.913539,0.92105
2017-04-25,0.917876,0.913595
2017-04-24,0.921308,0.91789
2017-04-23,0.940741,0.921333
2017-04-22,0.984,0.940929
2017-04-21,0.998269,0.984169
2017-04-20,0.999525,0.998275
2017-04-19,0.999617,0.999523
2017-04-18,0.999294,0.999616
2017-04-17,0.999435,0.999288
2017-04-16,0.999939,0.999458
2017-04-15,0.999031,0.999939
2017-04-14,0.999618,0.998986
2017-04-13,0.999558,0.999612
2017-04-12,0.999842,0.999562
2017-04-11,0.999934,0.999843
2017-04-10,0.99996,0.999931
2017-04-09,0.999714,0.99996
2017-04-08,0.999874,0.999716
2017-04-07,0.999937,0.999873
2017-04-06,1,0.999939
2017-04-05,1,1
2017-04-04,0.999771,1
2017-04-03,1,0.999752
2017-04-02,0.999582,1
2017-04-01,1,0.999586
2017-03-31,0.999985,1
2017-03-30,0.999948,0.999986
2017-03-29,1,0.999947
2017-03-28,1,1
2017-03-27,1,1
2017-03-26,0.999915,1
2017-03-25,0.999898,0.999916
2017-03-24,1,0.999896
2017-03-23,1,1
2017-03-22,1,1
2017-03-21,1,1
2017-03-20,1,1
2017-03-19,1,1
2017-03-18,1,1
2017-03-17,1,1
2017-03-16,1,1
2017-03-15,1,1
2017-03-14,1,1
2017-03-13,1,1
2017-03-12,1,1
2017-03-11,0.999991,1
2017-03-10,0.999905,0.99999
2017-03-09,1,0.999906
2017-03-08,1,1
2017-03-07,1,1
2017-03-06,1,1
2017-03-05,1,1
2017-03-04,1,1
2017-03-03,1,1
2017-03-02,0.999999,1
2017-03-01,0.999972,0.999998
2017-02-28,1,0.99997
2017-02-27,1,1
