date,Adj open,Adj close,,,open,close
2018-02-14,0.409872,0.453888,,1000,409.872,453.888
2018-02-13,0.396419,0.410614,,1000,396.419,410.614
2018-02-12,0.374181,0.395649,,1000,374.181,395.649
2018-02-11,0.406615,0.370005,,1000,406.615,370.005
2018-02-10,0.39844,0.406856,,1000,398.44,406.856
2018-02-09,0.360711,0.401068,,1000,360.711,401.068
2018-02-08,0.34493,0.363565,,1000,344.93,363.565
2018-02-07,0.368956,0.342125,,1000,368.956,342.125
2018-02-06,0.336738,0.370811,,1000,336.738,370.811
2018-02-05,0.383191,0.331192,,1000,383.191,331.192
2018-02-04,0.42597,0.377231,,1000,425.97,377.231
2018-02-03,0.40595,0.430056,,1000,405.95,430.056
2018-02-02,0.455087,0.405075,,1000,455.087,405.075
2018-02-01,0.540834,0.456455,,1000,540.834,456.455
2018-01-31,0.488731,0.539797,,1000,488.731,539.797
2018-01-30,0.590831,0.489648,,1000,590.831,489.648
2018-01-29,0.632602,0.589283,,1000,632.602,589.283
2018-01-28,0.615916,0.634421,,1000,615.916,634.421
2018-01-27,0.631495,0.613061,,1000,631.495,613.061
2018-01-26,0.602163,0.633916,,1000,602.163,633.916
2018-01-25,0.567863,0.608253,,1000,567.863,608.253
2018-01-24,0.486517,0.567014,,1000,486.517,567.014
2018-01-23,0.475039,0.486185,,1000,475.039,486.185
2018-01-22,0.465901,0.486338,,1000,465.901,486.338
2018-01-21,0.534347,0.464117,,1000,534.347,464.117
2018-01-20,0.50995,0.534677,,1000,509.95,534.677
2018-01-19,0.503367,0.506232,,1000,503.367,506.232
2018-01-18,0.479522,0.509523,,1000,479.522,509.523
2018-01-17,0.441944,0.477187,,1000,441.944,477.187
2018-01-16,0.600117,0.441197,,1000,600.117,441.197
2018-01-15,0.625504,0.599271,,1000,625.504,599.271
2018-01-14,0.672198,0.630856,,1000,672.198,630.856
2018-01-13,0.681853,0.671564,,1000,681.853,671.564
2018-01-12,0.558864,0.67796,,1000,558.864,677.96
2018-01-11,0.56369,0.558126,,1000,563.69,558.126
2018-01-10,0.588565,0.56693,,1000,588.565,566.93
2018-01-09,0.628026,0.585653,,1000,628.026,585.653
2018-01-08,0.695952,0.629323,,1000,695.952,629.323
2018-01-07,0.70973,0.699645,,1000,709.73,699.645
2018-01-06,0.66306,0.709945,,1000,663.06,709.945
2018-01-05,0.739457,0.662712,,1000,739.457,662.712
2018-01-04,0.892399,0.72405,,1000,892.399,724.05
2018-01-03,0.56272,0.896227,,1000,562.72,896.227
2018-01-02,0.496876,0.564766,,1000,496.876,564.766
2018-01-01,0.360422,0.480008,,1000,360.422,480.008
2017-12-31,0.317846,0.360756,,1000,317.846,360.756
